Commit SHA,Java File,Old function signature,New function signature
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Heater.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Heater.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Heater.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Heater.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Heater.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Heater.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,GasHeater.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,GasHeater.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,GasHeater.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,GasHeater.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,GasHeater.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,GasHeater.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Jedi.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Jedi.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Jedi.java,public void engage(RoomTemperature temperature),public void engage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Jedi.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Jedi.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Jedi.java,public void disengage(RoomTemperature temperature),public void disengage()
9e044fd7b69245dd5d11fdfb2e494bd71d5ed7aa,Jedi.java,private void forcePersuasion(RoomTemperature temperature),private void forcePersuasion()
8b08ea5ae78cc6329bf7fa2c09a5c4f6d1f93a1c,Estacion.java,public void setAnclajes(Estacion.Anclajes value) ,public void setAnclajes(Anclajes value) 
